"lhs","op","rhs","block","group","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all"
"bpurp_3","~1","",1,1,3.49217391304348,0.0655455901705579,53.278548624803,0,3.39249670086952,3.6393873571015,3.51594202898551,3.0054240933498
"bpurp_4","~1","",1,1,3.46434782608696,0.0626815868030335,55.2689873179678,0,3.34310282384698,3.5786363065878,3.46086956521739,3.10099588103532
"shs","~1","",1,1,0,0,NA,NA,0,0,0,0
"bpurp","~1","",1,1,0,0,NA,NA,0,0,0,0
"shs","=~","shs_gh_a",2,2,1,0,Inf,0,1,1,1.43227119554576,0.97523901584982
"shs","=~","shs_rh_a",2,2,0.944909957967507,0.0390730585079213,24.1831582694235,0,0.913638414963087,1.02171556685407,1.38597588067075,0.952169397400321
"shs","=~","shs_ch_a",2,2,0.897009816690067,0.0584080474962583,15.357640858437,0,0.768462475947733,0.916869307047718,1.20692608386108,0.916273168927464
"shs","=~","shs_ch_b_r",2,2,0.797094575451728,0.0784383056310178,10.1620575436872,0,0.693121908187054,0.893637265909515,1.13633472966325,0.680196966183896
"bpurp","=~","bpurp_1",2,2,1,0,Inf,0,1,1,0.782418868630265,0.800657708583061
"bpurp","=~","bpurp_2",2,2,0.902868340588754,0.0729607640981253,12.3747105961566,0,0.716524552430962,0.990098083931347,0.667646876160699,0.750283185456363
"bpurp","=~","bpurp_3",2,2,1.20365824938863,0.101954992728706,11.8057803465443,0,1.11477453603904,1.41860789273461,0.991083106864439,0.890655791180771
"bpurp","=~","bpurp_4",2,2,0.988901208298083,0.0964039140950415,10.2578947917318,0,0.813020237457951,1.1076196809894,0.751372456018849,0.742538198441238
"shs","~~","bpurp",2,2,0.190153564789356,0.0968379351775552,1.96362680018635,0.0495733870798463,0.0534995099489351,0.338064231858629,0.174706032501087,0.174706032501087
"shs_gh_a","~~","shs_gh_a",2,2,0.169417792542846,0.0526239028628181,3.21940759476715,0.00128455754132695,0.0565715257374442,0.154410731276899,0.105491128507171,0.0489088619642747
"shs_rh_a","~~","shs_rh_a",2,2,0.204965075874734,0.0545899854303481,3.75462778124846,0.00017359926485927,0.134042649277934,0.261630204416122,0.197836426847028,0.0933734386543103
"shs_ch_a","~~","shs_ch_a",2,2,0.297028935363537,0.0787791976353469,3.77039807816303,0.000162987357442246,0.186872633886257,0.36988153342743,0.278377083656844,0.160443479903623
"shs_ch_b_r","~~","shs_ch_b_r",2,2,1.52689739285336,0.396608137105931,3.84988922313899,0.000118171258722821,1.25109551053006,1.74817716156452,1.49963633604729,0.537332087194224
"bpurp_1","~~","bpurp_1",2,2,0.305101420614629,0.0581053515075,5.25083168243544,1.51413992011129e-07,0.249822549312052,0.435737431934072,0.342779990623062,0.358947233686523
"bpurp_2","~~","bpurp_2",2,2,0.314197682326111,0.0542143541057191,5.79547036036654,6.81299594518237e-09,0.257466922487013,0.434729448483782,0.346098185485398,0.437075141621453
"bpurp_3","~~","bpurp_3",2,2,0.286683169544727,0.0670431162888011,4.27610149131171,1.90194542910582e-05,0.157012236511117,0.35495080025878,0.255981518384948,0.206732261636156
"bpurp_4","~~","bpurp_4",2,2,0.417927490450799,0.0792985294959715,5.27030568041025,1.36196746547412e-07,0.349570647972518,0.569180823641062,0.45937573580679,0.44863702385564
"shs","~~","shs",2,2,2.08424266426329,0.23542961298682,8.85293331548728,0,1.68321776030713,2.41958379487302,1,1
"bpurp","~~","bpurp",2,2,0.6296925265137,0.0969674960401102,6.49385157118247,8.36692937156158e-11,0.453666740649737,0.77069183132759,1,1
"shs_gh_a","~1","",2,2,2.93710144927536,0.10681495743033,27.4970989076234,0,2.72618761802769,3.03613122255202,2.88115942028986,1.96179263137332
"shs_rh_a","~1","",2,2,2.79304347826087,0.100678671386604,27.7421567030383,0,2.63770833752147,2.9449003581307,2.79130434782609,1.91763407711266
"shs_ch_a","~1","",2,2,2.77695652173913,0.100385553843901,27.662909805302,0,2.57405007215643,2.85203688436531,2.71304347826087,2.05968615518812
